question,answer,p_answer,type,length,difficulty,latency,word,source,target,p_answer_clean,answer_clean,exact,cfm,Model,raw_response,annotated_question,edit_type
Substitute 'h' with 'c' in 'heteropoda'.,ceteropoda,ceteropoda,substitute,10,1,,heteropoda,h,c,ceteropoda,ceteropoda,True,1.0,Initial,,,
Substitute 'u' with 'l' in 'consumingness'.,conslmingness,,substitute,13,1,,consumingness,u,l,,conslmingness,False,0.0,Initial,,,
Substitute 't' with 'c' in 'haematothermal'.,haemacochermal,,substitute,14,1,,haematothermal,t,c,,haemacochermal,False,0.0,Initial,,,
Substitute 'n' with 'Q' in 'unexactingly'.,uQexactiQgly,unQexactingly,substitute,12,1,,unexactingly,n,Q,unQexactingly,uQexactiQgly,False,0.8461538461538461,Initial,,,
Substitute 'l' with 'K' in 'cosmological'.,cosmoKogicaK,c Kemological,substitute,12,1,,cosmological,l,K,cKemological,cosmoKogicaK,False,0.6666666666666667,Initial,,,
Substitute 'd' with 'J' in 'pseudostratum'.,pseuJostratum,puessoJtratum,substitute,13,1,,pseudostratum,d,J,puessoJtratum,pseuJostratum,False,0.6923076923076923,Initial,,,
Substitute 'u' with ':' in 'kudu'.,k:d:,kdu:,substitute,4,1,,kudu,u,:,kdu:,k:d:,False,0.5,Initial,,,
Substitute 'm' with '?' in 'microblephary'.,?icroblephary,micro?blephary,substitute,13,1,,microblephary,m,?,micro?blephary,?icroblephary,False,0.8571428571428572,Initial,,,
Substitute 'n' with 'H' in 'unsibilant'.,uHsibilaHt,,substitute,10,1,,unsibilant,n,H,,uHsibilaHt,False,0.0,Initial,,,
Substitute 'a' with '1' in 'bane'.,b1ne,b1ne,substitute,4,1,,bane,a,1,b1ne,b1ne,True,1.0,Initial,,,
Substitute 'n' with 'f' in 'attributiveness'.,attributivefess,attributfeness,substitute,15,1,,attributiveness,n,f,attributfeness,attributivefess,False,0.8,Initial,,,
Substitute 's' with 'y' in 'uranalysis'.,uranalyyiy,urayanlys,substitute,10,1,,uranalysis,s,y,urayanlys,uranalyyiy,False,0.5,Initial,,,
Substitute 'r' with ';' in 'hydroergotinine'.,hyd;oe;gotinine,,substitute,15,1,,hydroergotinine,r,;,,hyd;oe;gotinine,False,0.0,Initial,,,
Substitute 'n' with 'T' in 'unconsonous'.,uTcoTsoTous,uncconsous,substitute,11,1,,unconsonous,n,T,uncconsous,uTcoTsoTous,False,0.5454545454545454,Initial,,,
Substitute 'i' with 'Z' in 'interantennary'.,Znterantennary,terantennary,substitute,14,1,,interantennary,i,Z,terantennary,Znterantennary,False,0.8571428571428572,Initial,,,
Substitute 'd' with '5' in 'diffrangibility'.,5iffrangibility,,substitute,15,1,,diffrangibility,d,5,,5iffrangibility,False,0.0,Initial,,,
Substitute 'm' with '=' in 'petrarchianism'.,petrarchianis=,=,substitute,14,1,,petrarchianism,m,=,=,petrarchianis=,False,0.0714285714285714,Initial,,,
Substitute 'r' with 'g' in 'antepretonic'.,antepgetonic,antenpgontic,substitute,12,1,,antepretonic,r,g,antenpgontic,antepgetonic,False,0.6666666666666667,Initial,,,
Substitute 'r' with 'F' in 'interpretress'.,inteFpFetFess,interpretfess,substitute,13,1,,interpretress,r,F,interpretfess,inteFpFetFess,False,0.7692307692307692,Initial,,,
Substitute 'm' with 'n' in 'mesaticephalism'.,nesaticephalisn,nseaticephalism,substitute,15,1,,mesaticephalism,m,n,nseaticephalism,nesaticephalisn,False,0.8,Initial,,,
Substitute 'r' with 'e' in 'literalminded'.,liteealminded,liteleminded,substitute,13,1,,literalminded,r,e,liteleminded,liteealminded,False,0.7692307692307692,Initial,,,
Substitute 'y' with 't' in 'winnowingly'.,winnowinglt,winnoltnly,substitute,11,1,,winnowingly,y,t,winnoltnly,winnowinglt,False,0.6363636363636364,Initial,,,
Substitute 'e' with 'y' in 'spectroheliogram'.,spyctrohyliogram,ysptrohiloigam,substitute,16,1,,spectroheliogram,e,y,ysptrohiloigam,spyctrohyliogram,False,0.5625,Initial,,,
Substitute 'i' with '>' in 'pill'.,p>ll,<pill>,substitute,4,1,,pill,i,>,<pill>,p>ll,False,0.5,Initial,,,
Substitute 'n' with 'h' in 'expenseful'.,expehseful,hexpenseful,substitute,10,1,,expenseful,n,h,hexpenseful,expehseful,False,0.8181818181818181,Initial,,,
Substitute 'a' with '!' in 'hoya'.,hoy!,,substitute,4,1,,hoya,a,!,,hoy!,False,0.0,Initial,,,
Substitute 's' with 'W' in 'syllabical'.,Wyllabical,,substitute,10,1,,syllabical,s,W,,Wyllabical,False,0.0,Initial,,,
Substitute 'r' with 'P' in 'aprilesque'.,apPilesque,,substitute,10,1,,aprilesque,r,P,,apPilesque,False,0.0,Initial,,,
Substitute 'a' with '-' in 'etna'.,etn-,-tn-,substitute,4,1,,etna,a,-,-tn-,etn-,False,0.75,Initial,,,
Substitute 't' with '!' in 'dilatableness'.,dila!ableness,!il!lableness,substitute,13,1,,dilatableness,t,!,!il!lableness,dila!ableness,False,0.7692307692307692,Initial,,,
Substitute 'r' with '>' in 'prerealization'.,p>e>ealization,plerealization,substitute,14,1,,prerealization,r,>,plerealization,p>e>ealization,False,0.8571428571428572,Initial,,,
Substitute 'm' with 'M' in 'swordswoman'.,swordswoMan,swordswomaN,substitute,11,1,,swordswoman,m,M,swordswomaN,swordswoMan,False,0.8181818181818181,Initial,,,
Substitute 's' with 'M' in 'illustration'.,illuMtration,,substitute,12,1,,illustration,s,M,,illuMtration,False,0.0,Initial,,,
Substitute 'g' with '4' in 'nonmonogamous'.,nonmono4amous,no nmomoneuos,substitute,13,1,,nonmonogamous,g,4,nonmomoneuos,nonmono4amous,False,0.6153846153846154,Initial,,,
Substitute 's' with 'z' in 'foreanswer'.,foreanzwer,,substitute,10,1,,foreanswer,s,z,,foreanzwer,False,0.0,Initial,,,
Substitute 'n' with 'b' in 'jacameropine'.,jacameropibe,,substitute,12,1,,jacameropine,n,b,,jacameropibe,False,0.0,Initial,,,
Substitute 'v' with '!' in 'verisimilarly'.,!erisimilarly,,substitute,13,1,,verisimilarly,v,!,,!erisimilarly,False,0.0,Initial,,,
Substitute 'c' with 'o' in 'heptahedrical'.,heptahedrioal,hepotahedrical,substitute,13,1,,heptahedrical,c,o,hepotahedrical,heptahedrioal,False,0.8571428571428572,Initial,,,
Substitute 'n' with 'p' in 'ungrudgingly'.,upgrudgipgly,upgrudgingly,substitute,12,1,,ungrudgingly,n,p,upgrudgingly,upgrudgipgly,False,0.9166666666666666,Initial,,,
Substitute 'e' with '1' in 'abe'.,ab1,,substitute,3,1,,abe,e,1,,ab1,False,0.0,Initial,,,
Substitute 'l' with '?' in 'transpersonal'.,transpersona?,transperonal,substitute,13,1,,transpersonal,l,?,transperonal,transpersona?,False,0.8461538461538461,Initial,,,
Substitute 's' with '0' in 'superdivision'.,0uperdivi0ion,sup0derdivi0n,substitute,13,1,,superdivision,s,0,sup0derdivi0n,0uperdivi0ion,False,0.6153846153846154,Initial,,,
Substitute 'g' with 'w' in 'microphotograph'.,microphotowraph,,substitute,15,1,,microphotograph,g,w,,microphotowraph,False,0.0,Initial,,,
Substitute 's' with 'e' in 'monosaccharose'.,monoeaccharoee,,substitute,14,1,,monosaccharose,s,e,,monoeaccharoee,False,0.0,Initial,,,
Substitute 'i' with 'L' in 'coaffirmation'.,coaffLrmatLon,cLafformation,substitute,13,1,,coaffirmation,i,L,cLafformation,coaffLrmatLon,False,0.7692307692307692,Initial,,,
Substitute 'c' with 'B' in 'graduatical'.,graduatiBal,graddualtical,substitute,11,1,,graduatical,c,B,graddualtical,graduatiBal,False,0.7692307692307692,Initial,,,
Substitute 'l' with 'r' in 'heterostylism'.,heterostyrism,heRorestylsm,substitute,13,1,,heterostylism,l,r,heRorestylsm,heterostyrism,False,0.6153846153846154,Initial,,,
Substitute 'o' with 'K' in 'extracolumella'.,extracKlumella,extracKolumellA,substitute,14,1,,extracolumella,o,K,extracKolumellA,extracKlumella,False,0.8666666666666667,Initial,,,
Substitute 'p' with 'F' in 'subphratry'.,subFhratry,subhratry,substitute,10,1,,subphratry,p,F,subhratry,subFhratry,False,0.9,Initial,,,
Substitute 'e' with '|' in 'asem'.,as|m,as|m,substitute,4,1,,asem,e,|,as|m,as|m,True,1.0,Initial,,,
Substitute 'u' with '6' in 'hum'.,h6m,,substitute,3,1,,hum,u,6,,h6m,False,0.0,Initial,,,
Substitute 'e' with 'a' in 'predepreciation'.,pradapraciation,,substitute,15,1,,predepreciation,e,a,,pradapraciation,False,0.0,Initial,,,
Substitute 'c' with '1' in 'correspondingly'.,1orrespondingly,correspondingly,substitute,15,1,,correspondingly,c,1,correspondingly,1orrespondingly,False,0.9333333333333333,Initial,,,
Substitute 'g' with 'Z' in 'hogrophyte'.,hoZrophyte,,substitute,10,1,,hogrophyte,g,Z,,hoZrophyte,False,0.0,Initial,,,
"Substitute 'h' with ',' in 'lithification'.","lit,ification",,substitute,13,1,,lithification,h,",",,"lit,ification",False,0.0,Initial,,,
Substitute 'l' with 'B' in 'revolvingly'.,revoBvingBy,revolingby,substitute,11,1,,revolvingly,l,B,revolingby,revoBvingBy,False,0.7272727272727273,Initial,,,
Substitute 'd' with 'w' in 'shadowlike'.,shawowlike,,substitute,10,1,,shadowlike,d,w,,shawowlike,False,0.0,Initial,,,
Substitute 'n' with 'W' in 'denticulately'.,deWticulately,dweticulately,substitute,13,1,,denticulately,n,W,dweticulately,deWticulately,False,0.8461538461538461,Initial,,,
Substitute 'u' with '@' in 'hud'.,h@d,@d,substitute,3,1,,hud,u,@,@d,h@d,False,0.6666666666666667,Initial,,,
Substitute 'u' with 'S' in 'undiscoverably'.,Sndiscoverably,,substitute,14,1,,undiscoverably,u,S,,Sndiscoverably,False,0.0,Initial,,,
Substitute 'y' with 'S' in 'subquality'.,subqualitS,,substitute,10,1,,subquality,y,S,,subqualitS,False,0.0,Initial,,,
Substitute 'd' with '*' in 'blindfoldedness'.,blin*fol*e*ness,,substitute,15,1,,blindfoldedness,d,*,,blin*fol*e*ness,False,0.0,Initial,,,
Substitute 'n' with '^' in 'conduplicated'.,co^duplicated,condup^cated,substitute,13,1,,conduplicated,n,^,condup^cated,co^duplicated,False,0.7692307692307692,Initial,,,
Substitute 'u' with 'o' in 'wust'.,wost,wost,substitute,4,1,,wust,u,o,wost,wost,True,1.0,Initial,,,
Substitute 'r' with 'f' in 'orthodiagraph'.,ofthodiagfaph,oftodiagraph,substitute,13,1,,orthodiagraph,r,f,oftodiagraph,ofthodiagfaph,False,0.8461538461538461,Initial,,,
Substitute 'r' with 'J' in 'conjecturable'.,conjectuJable,,substitute,13,1,,conjecturable,r,J,,conjectuJable,False,0.0,Initial,,,
Substitute 'h' with 'i' in 'leptocephaloid'.,leptocepialoid,letocephaloid,substitute,14,1,,leptocephaloid,h,i,letocephaloid,leptocepialoid,False,0.8571428571428572,Initial,,,
Substitute 'b' with 'O' in 'irreconcilably'.,irreconcilaOly,,substitute,14,1,,irreconcilably,b,O,,irreconcilaOly,False,0.0,Initial,,,
Substitute 'm' with 'f' in 'interlacement'.,interlacefent,,substitute,13,1,,interlacement,m,f,,interlacefent,False,0.0,Initial,,,
Substitute 'e' with '!' in 'kiel'.,ki!l,,substitute,4,1,,kiel,e,!,,ki!l,False,0.0,Initial,,,
Substitute 'l' with 'w' in 'crystallitic'.,crystawwitic,crystawllitic,substitute,12,1,,crystallitic,l,w,crystawllitic,crystawwitic,False,0.8461538461538461,Initial,,,
Substitute 'n' with 'G' in 'unbelievable'.,uGbelievable,,substitute,12,1,,unbelievable,n,G,,uGbelievable,False,0.0,Initial,,,
Substitute 'c' with 'R' in 'cytogenetical'.,RytogenetiRal,,substitute,13,1,,cytogenetical,c,R,,RytogenetiRal,False,0.0,Initial,,,
Substitute 'r' with 'H' in 'perivitellin'.,peHivitellin,peHivitelliN,substitute,12,1,,perivitellin,r,H,peHivitelliN,peHivitellin,False,0.9166666666666666,Initial,,,
Substitute 'w' with 'v' in 'causewayman'.,causevayman,cavewayman,substitute,11,1,,causewayman,w,v,cavewayman,causevayman,False,0.7272727272727273,Initial,,,
Substitute 'u' with '%' in 'suprachorioidal'.,s%prachorioidal,sup%rachorioidal,substitute,15,1,,suprachorioidal,u,%,sup%rachorioidal,s%prachorioidal,False,0.875,Initial,,,
Substitute 't' with 'O' in 'permutableness'.,permuOableness,permuOtablessness,substitute,14,1,,permutableness,t,O,permuOtablessness,permuOableness,False,0.8235294117647058,Initial,,,
Substitute 'd' with '2' in 'spondylopyosis'.,spon2ylopyosis,,substitute,14,1,,spondylopyosis,d,2,,spon2ylopyosis,False,0.0,Initial,,,
Substitute 'c' with 'e' in 'parallelogrammical'.,parallelogrammieal,,substitute,18,1,,parallelogrammical,c,e,,parallelogrammieal,False,0.0,Initial,,,
Substitute 'c' with 'k' in 'synoptical'.,synoptikal,sykoptikal,substitute,10,1,,synoptical,c,k,sykoptikal,synoptikal,False,0.9,Initial,,,
Substitute 'n' with 'P' in 'uncommonly'.,uPcommoPly,,substitute,10,1,,uncommonly,n,P,,uPcommoPly,False,0.0,Initial,,,
Substitute 'r' with '{' in 'unprobationary'.,unp{obationa{y,un{probationary},substitute,14,1,,unprobationary,r,{,un{probationary},unp{obationa{y,False,0.75,Initial,,,
Substitute 'h' with 'p' in 'scholarless'.,scpolarless,pscholarless,substitute,11,1,,scholarless,h,p,pscholarless,scpolarless,False,0.8333333333333334,Initial,,,
Substitute 'r' with 'Q' in 'mobilometer'.,mobilometeQ,moQiLoMeRoMeRe,substitute,11,1,,mobilometer,r,Q,moQiLoMeRoMeRe,mobilometeQ,False,0.4285714285714286,Initial,,,
Substitute 'a' with 'l' in 'deregulationize'.,deregulltionize,dleregulilize,substitute,15,1,,deregulationize,a,l,dleregulilize,deregulltionize,False,0.6666666666666667,Initial,,,
Substitute 'c' with 'G' in 'titanomachy'.,titanomaGhy,titanomachG,substitute,11,1,,titanomachy,c,G,titanomachG,titanomaGhy,False,0.8181818181818181,Initial,,,
Substitute 'p' with 'T' in 'protogaster'.,Trotogaster,Trtoaster,substitute,11,1,,protogaster,p,T,Trtoaster,Trotogaster,False,0.8181818181818181,Initial,,,
Substitute 'c' with 'Q' in 'consolidative'.,Qonsolidative,,substitute,13,1,,consolidative,c,Q,,Qonsolidative,False,0.0,Initial,,,
Substitute 'u' with '=' in 'spiraculiferous'.,spirac=lifero=s,=,substitute,15,1,,spiraculiferous,u,=,=,spirac=lifero=s,False,0.06666666666666665,Initial,,,
Substitute 'e' with '^' in 'preacknowledgment'.,pr^acknowl^dgm^nt,,substitute,17,1,,preacknowledgment,e,^,,pr^acknowl^dgm^nt,False,0.0,Initial,,,
Substitute 'l' with 'X' in 'heliophyte'.,heXiophyte,hXeloptye,substitute,10,1,,heliophyte,l,X,hXeloptye,heXiophyte,False,0.5,Initial,,,
Substitute 'v' with '!' in 'dissemilative'.,dissemilati!e,!ss!m!l!t!v!e,substitute,13,1,,dissemilative,v,!,!ss!m!l!t!v!e,dissemilati!e,False,0.46153846153846156,Initial,,,
Substitute 'n' with 'P' in 'choanophorous'.,choaPophorous,,substitute,13,1,,choanophorous,n,P,,choaPophorous,False,0.0,Initial,,,
Substitute 'n' with 'y' in 'confronter'.,coyfroyter,confyronter,substitute,10,1,,confronter,n,y,confyronter,coyfroyter,False,0.7272727272727273,Initial,,,
Substitute 'r' with 't' in 'refragableness'.,teftagableness,,substitute,14,1,,refragableness,r,t,,teftagableness,False,0.0,Initial,,,
Substitute 'a' with 'U' in 'halo'.,hUlo,hUlo,substitute,4,1,,halo,a,U,hUlo,hUlo,True,1.0,Initial,,,
Substitute 's' with ''' in 'erythroplastid'.,erythropla'tid,er**ythro****l****tid,substitute,14,1,,erythroplastid,s,',er**ythro****l****tid,erythropla'tid,False,0.5238095238095238,Initial,,,
Substitute 'n' with 'V' in 'unabridged'.,uVabridged,ubridged,substitute,10,1,,unabridged,n,V,ubridged,uVabridged,False,0.8,Initial,,,
Substitute 'o' with 'N' in 'megagametophyte'.,megagametNphyte,meganametNophyte,substitute,15,1,,megagametophyte,o,N,meganametNophyte,megagametNphyte,False,0.875,Initial,,,
Substitute 'g' with 'V' in 'combwright'.,combwriVht,cVmbwVight,substitute,10,1,,combwright,g,V,cVmbwVight,combwriVht,False,0.7,Initial,,,
Substitute 'a' with '>' in 'mae'.,m>e,,substitute,3,1,,mae,a,>,,m>e,False,0.0,Initial,,,
Substitute 'o' with 't' in 'microsporidian'.,micrtsptridian,,substitute,14,1,,microsporidian,o,t,,micrtsptridian,False,0.0,Initial,,,
Substitute 'g' with ';' in 'convertingness'.,convertin;ness,converting;,substitute,14,1,,convertingness,g,;,converting;,convertin;ness,False,0.6428571428571428,Initial,,,
Substitute 'r' with 'k' in 'weathering'.,weatheking,weathking,substitute,10,1,,weathering,r,k,weathking,weatheking,False,0.9,Initial,,,
Substitute 't' with 'S' in 'osteoclasia'.,osSeoclasia,oseoclasia,substitute,11,1,,osteoclasia,t,S,oseoclasia,osSeoclasia,False,0.9090909090909091,Initial,,,
Substitute 'e' with '&' in 'wezn'.,w&zn,&wzn,substitute,4,1,,wezn,e,&,&wzn,w&zn,False,0.5,Initial,,,
Substitute 'z' with '^' in 'prussianization'.,prussiani^ation,^ussianization,substitute,15,1,,prussianization,z,^,^ussianization,prussiani^ation,False,0.8,Initial,,,
Substitute 'r' with 'f' in 'serratospinose'.,seffatospinose,ffessofopinfsoe,substitute,14,1,,serratospinose,r,f,ffessofopinfsoe,seffatospinose,False,0.4,Initial,,,
Substitute 'n' with 'w' in 'antapology'.,awtapology,awtapology,substitute,10,1,,antapology,n,w,awtapology,awtapology,True,1.0,Initial,,,
Substitute 'a' with 'N' in 'paleobiologist'.,pNleobiologist,,substitute,14,1,,paleobiologist,a,N,,pNleobiologist,False,0.0,Initial,,,
Substitute 'n' with 'S' in 'noncorrespondent'.,SoScorrespoSdeSt,Sons correspondent,substitute,16,1,,noncorrespondent,n,S,Sonscorrespondent,SoScorrespoSdeSt,False,0.7647058823529411,Initial,,,
Substitute 't' with 'T' in 'unsucculent'.,unsucculenT,unsucculTenT,substitute,11,1,,unsucculent,t,T,unsucculTenT,unsucculenT,False,0.9166666666666666,Initial,,,
Substitute 'l' with ':' in 'magnanimously'.,magnanimous:y,:nagnamously,substitute,13,1,,magnanimously,l,:,:nagnamously,magnanimous:y,False,0.6153846153846154,Initial,,,
Substitute 'p' with 'e' in 'procollegiate'.,erocollegiate,proellegiate,substitute,13,1,,procollegiate,p,e,proellegiate,erocollegiate,False,0.7692307692307692,Initial,,,
Substitute 'i' with '3' in 'nonmaterialistic'.,nonmater3al3st3c,,substitute,16,1,,nonmaterialistic,i,3,,nonmater3al3st3c,False,0.0,Initial,,,
Substitute 'h' with '{' in 'spinosympathetic'.,spinosympat{etic,sp{{i}}nos{y}mp{{a}}thet{{i}},substitute,16,1,,spinosympathetic,h,{,sp{{i}}nos{y}mp{{a}}thet{{i}},spinosympat{etic,False,0.48275862068965514,Initial,,,
Substitute 'l' with '?' in 'transpersonal'.,transpersona?,transpersona?,substitute,13,1,,transpersonal,l,?,transpersona?,transpersona?,True,1.0,Initial,,,
Substitute 'm' with 'N' in 'overimitatively'.,overiNitatively,overtinitatively,substitute,15,1,,overimitatively,m,N,overtinitatively,overiNitatively,False,0.875,Initial,,,
Substitute 't' with '7' in 'hepatoperitonitis'.,hepa7operi7oni7is,he7pa7operi7onitis,substitute,17,1,,hepatoperitonitis,t,7,he7pa7operi7onitis,hepa7operi7oni7is,False,0.8888888888888888,Initial,,,
Substitute 'o' with ']' in 'sosh'.,s]sh,,substitute,4,1,,sosh,o,],,s]sh,False,0.0,Initial,,,
Substitute 'e' with 'o' in 'appendicularian'.,appondicularian,apppondicaroian,substitute,15,1,,appendicularian,e,o,apppondicaroian,appondicularian,False,0.7333333333333334,Initial,,,
Substitute 'c' with 'p' in 'chronophotograph'.,phronophotograph,,substitute,16,1,,chronophotograph,c,p,,phronophotograph,False,0.0,Initial,,,
Substitute 'a' with 's' in 'autopsychoanalysis'.,sutopsychosnslysis,sutospsychoanalysis,substitute,18,1,,autopsychoanalysis,a,s,sutospsychoanalysis,sutopsychosnslysis,False,0.8421052631578947,Initial,,,
Substitute 'c' with '4' in 'pinnatopectinate'.,pinnatope4tinate,p4nn4topectin4t3,substitute,16,1,,pinnatopectinate,c,4,p4nn4topectin4t3,pinnatope4tinate,False,0.6875,Initial,,,
Substitute 't' with 'd' in 'receptacular'.,recepdacular,recpetacualr,substitute,12,1,,receptacular,t,d,recpetacualr,recepdacular,False,0.5833333333333333,Initial,,,
Substitute 'o' with 'K' in 'fiatconfirmatio'.,fiatcKnfirmatiK,,substitute,15,1,,fiatconfirmatio,o,K,,fiatcKnfirmatiK,False,0.0,Initial,,,
Substitute 'r' with 'y' in 'epanorthidae'.,epanoythidae,,substitute,12,1,,epanorthidae,r,y,,epanoythidae,False,0.0,Initial,,,
Substitute 'o' with '/' in 'orgy'.,/rgy,/rgy,substitute,4,1,,orgy,o,/,/rgy,/rgy,True,1.0,Initial,,,
Substitute 'b' with 'x' in 'endobronchial'.,endoxronchial,,substitute,13,1,,endobronchial,b,x,,endoxronchial,False,0.0,Initial,,,
Substitute 'e' with '}' in 'bell'.,b}ll,b>{},substitute,4,1,,bell,e,},b>{},b}ll,False,0.25,Initial,,,
Substitute 'n' with 'y' in 'confronter'.,coyfroyter,confronyter,substitute,10,1,,confronter,n,y,confronyter,coyfroyter,False,0.8181818181818181,Initial,,,
Substitute 'a' with 'N' in 'cunctatorship'.,cunctNtorship,cunctatoriNship,substitute,13,1,,cunctatorship,a,N,cunctatoriNship,cunctNtorship,False,0.8,Initial,,,
Substitute 'h' with 't' in 'trachelocyllosis'.,tractelocyllosis,trachelocylloiosis,substitute,16,1,,trachelocyllosis,h,t,trachelocylloiosis,tractelocyllosis,False,0.8333333333333334,Initial,,,
Substitute 'm' with 'Q' in 'planetarium'.,planetariuQ,Qlantearam,substitute,11,1,,planetarium,m,Q,Qlantearam,planetariuQ,False,0.4545454545454546,Initial,,,
Substitute 't' with 'g' in 'expatiatingly'.,expagiagingly,gpatiatically,substitute,13,1,,expatiatingly,t,g,gpatiatically,expagiagingly,False,0.46153846153846156,Initial,,,
Substitute 'c' with '/' in 'indeterministic'.,indeterministi/,/indeterminate/,substitute,15,1,,indeterministic,c,/,/indeterminate/,indeterministi/,False,0.7333333333333334,Initial,,,
